Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Category,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,2021 ENERGY STAR Score,2021 Site EUI (kBtu/ft2),2021 Source EUI (kBtu/ft2),2021 Percent Better than National Median Site EUI,2021 Weather Normalized Site EUI (kBtu/ft2),2021 Weather Normalized Source EUI (kBtu/ft2),2021 Total GHG Emissions (Metric Tons CO2e),2021 Total GHG Emissions Intensity (kGCO2e/ft2) ,2021 Electricity Use - Grid Purchase (kWh),2021 Natural Gas Use (kBtu), 2021 District Steam Use (kBtu) ,2021 Site Energy Use (kBtu),2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2020 Total GHG Emissions (Metric Tons CO2e),2020 Total GHG Emissions Intensity (kGCO2e/ft2) ,2020 Electricity Use - Grid Purchase (kWh),2020 Natural Gas Use (kBtu),2020 District Steam Use (kBtu) ,2020 Site Energy Use (kBtu),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2019 Total GHG Emissions (Metric Tons CO2e),2019 Total GHG Emissions Intensity (kGCO2e/ft2) ,2019 Electricity Use - Grid Purchase (kWh),2019 Natural Gas Use (kBtu),2019 District Steam Use (kBtu) ,2019 Site Energy Use (kBtu),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2018 Total GHG Emissions (Metric Tons CO2e),2018 Total GHG Emissions Intensity (kGCO2e/ft2) ,2018 Electricity Use - Grid Purchase (kWh),2018 Natural Gas Use (kBtu),2018 District Steam Use (kBtu),2018 Site Energy Use (kBtu),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2021 Benchmark Status,2021 Reason for Exemption,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption
0618/001,"1835 Van Ness Avenue, LLC",1849 VAN NESS AVE,94109,107908,Commercial,College/University,https://sfplanninggis.org/PIM/?tab=Property&search=0618/001,1920,04/01/2025,,,19.7,47.7,-73.6,20,48.1,125.1,1.2,488870.2,455286.9,,2123312.1,,21.6,51.8,-71.3,21.6,51.8,147.7,1.4,526270.8,539150.6,,2334786.7,,28.4,75.6,-58.2,28.4,75.6,211.4,2,827899.5,234462.5,,3059255.8,,27.5,77,-57.4,27.5,77,209,1.9,869651.5,0,,2967251.1,,26.2,82.2,-68.7,26.2,82.2,,24.9,78.1,-70.2,-70.2,24.9,78.1,,23.2,72.9,-72,23.2,72.9,,26.9,83.4,-68.3,27.1,83.6,,9.8,10.3,-96.1,10,10.5,,,,,,,,11,,-95.3,10,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0618/002,Van Ness Capital Group LLC,1801 VAN NESS AVE,94109,23340,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0618/002,1920,04/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,31.7,88.8,9,31.7,88.8,77,35.5,111.3,-28.5,-28.5,35.5,111.3,72,40.7,122.2,-23,40.3,120.8,70,43.8,124.2,-20.6,46.1,125.6,70,47.6,126.9,-21.1,48,127.3,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0618/003,1850 CLAY ST,1850 CLAY ST,94109,44000,Multifamily,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0618/003,1927,,,,34.1,41.3,-29.7,34.6,41.8,80.7,1.8,40609.4,1361808,,1500367.3,,33.7,41.2,-28.7,36.3,43.9,80.6,1.8,42998.7,1334224,,1480935.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0618/004,1890 CLAY ST,1890 CLAY ST,94109,91765,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0618/004,1962,,,93,34.9,73.1,-29.6,35.8,75.4,133.1,2,403951.5,934593,,2312875.6,,30.7,65.4,-36.4,32.8,70.4,124.6,1.9,367470,780309.1,,2034116.8,96,32.4,69.1,-34,33.4,71.7,136.9,2.1,389906,813960,,2144319.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Exempt,PG&E will not provide data,,,,,,,,,,,,,,
0619/051,1788 CLAY ST,1788 CLAY ST,94109,124150,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0619/051,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0622/019,1730 VAN NESS AVE,1730 VAN NESS AVE,94109,23846,Commercial,Arts & Culture,https://sfplanninggis.org/PIM/?tab=Property&search=0622/019,1919,04/01/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0622/020,1776 SACRAMENTO ST,1776 SACRAMENTO ST,94109,130887,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0622/020,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0623/002,SAN FRANCISCO TOYOTA VAN NESS,1701 VAN NESS AVE,94109,24000,Commercial,Automobile Dealership,https://sfplanninggis.org/PIM/?tab=Property&search=0623/002,1917,04/01/2024,Upcoming,,23,64.5,-48,23.4,65.6,33.5,1.4,162133.6,,,553199.9,,18.7,52.4,-57.7,18.7,52.4,29.8,1.2,131702.8,,,449369.8,,27.3,76.4,-38.4,27.3,76.4,46.1,1.9,191919.9,,,654830.8,,21.2,59.4,-52.1,21.2,59.4,35.9,1.5,149295.8,,,509397.5,,20.5,64.4,-50.5,20.5,64.4,,19.4,61,-53.1,-53.1,19.4,61,,17.6,55.4,-57,17.6,55.4,,21.2,66.6,-48.8,21.2,66.6,,22.7,71.3,-45.2,22.7,71.3,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,Change in Ownership,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0623/005,1870 SACRAMENTO ST,1870 SACRAMENTO ST,94109,126390,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0623/005,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0624/020,1835 FRANKLIN ST,1835 FRANKLIN ST,94109,133340,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0624/020,1965,,,,39.5,58.7,-50.3,40.2,59.5,246.1,2.2,327046.8,3361333.5,,4477217.3,,34.9,53.4,-54.8,38.2,56.8,218.3,1.9,318122,2873802.7,,3959235.2,,42.4,65.3,-44.7,43.9,66.8,229.3,2.5,324353.8,2849665.9,,3956361.4,,,,,,,231.7,2.5,326010.5,2886528.1,,3998876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0624/065,1950 GOUGH ST,1950 GOUGH ST,94109,62650,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0624/065,1926,,,,47.9,58.7,-24.9,47.9,58.9,146.6,2.6,79240.4,2410991.5,,2681359.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0625/004,1925 GOUGH ST,1925 GOUGH ST,94109,70038,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0625/004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0627A/001,2200 SACRAMENTO ST,2200 SACRAMENTO ST,94115,242848,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0627A/001,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0628/013,Pacific Professional Building,2140 WEBSTER ST,94115,263062,Commercial,Medical Office,https://sfplanninggis.org/PIM/?tab=Property&search=0628/013,1987,04/01/2024,Upcoming,97,61.7,148.1,-42.7,62.1,148.5,517.7,3.6,1990538.6,2007556.6,,8799275.1,,55.9,139.8,-38.6,56.6,140.5,510.5,3.6,1938232.4,1356658.7,,7969908.4,73,64.9,161.2,-29.6,65,161.3,623.3,4.4,2223275.3,1673837.6,,9259654,66,69.7,177.9,-20.8,70.5,178.8,676.2,4.7,2501873.8,1409685.1,,9946079.6,76,59.9,169.8,-32.7,60.7,170.7,74,60.3,171,-30.3,-30.3,62,172.9,72,62.1,177.1,-28,62.7,176.8,73,61.3,175.6,-28.9,64,178.4,72,64.3,180.8,-28.8,63.7,181,81,65.4,193.7,-35.9,64.9,193.1,80,67.7,,-35,66.6,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
0629/034,University of the Pacifc,2155 WEBSTER ST,94115,193173,Mixed Residential,Arts & Culture,https://sfplanninggis.org/PIM/?tab=Property&search=0629/034,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Exempt,Building Not Subject,Exempt,Building Not Subject,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Complied,,Complied,
0636/038,Kennedy Towers (JFK Towers),2451 SACRAMENTO ST,94115,67790,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0636/038,1900,,,12,83.5,135.1,33.8,83.5,135.1,314.2,4.6,538305.4,3823203.8,,5659902,,70.6,105.9,3.9,71.6,107,270.4,4,360390.4,3556198.1,,4785850.4,42,71.8,107.9,5.2,72.6,108.8,280.3,4.1,369763.3,3603503.1,,4865135.8,,,,,,,292.9,4.3,389278,3753435,,5081651.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0640/018,2055 SACRAMENTO ST,2055 SACRAMENTO ST,94109,113632,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0640/018,1975,,,95,24.7,54.8,-35.9,25.3,56.5,162.8,1.4,549285.1,929864,,2804024.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Insufficient Data,,,,,,,,,,,,,,,
0642/001,1699 Van Ness,1699 VAN NESS AVE,94109,41100,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0642/001,1919,04/01/2024,Upcoming,16,75.7,161.7,52.2,75.7,161.7,131.5,4.4,414572.4,863166,,2277687.2,,46.6,130.4,4.5,46.6,130.4,93,3.1,410879.9,300,,1402222.3,50,56,156.7,-0.6,56,156.7,118.7,3.9,493807.3,300,,1685170.7,46,55.8,156.2,9.6,55.8,156.2,118.3,3.9,492233.2,231,,1679730.8,63,53.9,168.1,-12.7,53.9,168.1,70,42.7,127.6,-19.7,-19.7,42.7,127.6,,67.7,142.8,-4,67.7,142.8,,,,,,,50,60.8,135.5,-0.3,60.8,135.5,60,72.7,148.4,-9.6,72.7,148.4,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Complied,,Complied,,Complied,
0642/003,1625 VAN NESS AVE,1625 VAN NESS AVE,94109,88202,Commercial,Mixed Use Property,https://sfplanninggis.org/PIM/?tab=Property&search=0642/003,1919,04/01/2026,,57,52.2,119.8,-8,52.8,120.3,226.4,3,806861.2,1125437.9,,3878448.6,,52.8,119.6,-25.3,54.6,121.6,243.9,3.3,798298.3,1192087.5,,3915881.6,65,57.1,134,-16.2,56.4,131.8,279.6,3.8,919908.9,1101445.8,,4240175.5,62,54.6,129.9,-11.2,54.4,129.6,268.7,3.6,901324.7,979780.5,,4055100.7,83,50.2,127.9,-37.1,51.1,128.9,70,60.2,155.8,-21.9,-21.9,61.9,157.6,69,59.6,161.4,-21,59.6,161.4,64,63.1,168.3,-15.9,61.9,164.6,71,59.3,158,-23.1,59.3,157.8,77,53.7,147.1,-29.2,53.7,148.4,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,
0642/036,1700 CALIFORNIA ST,1700 CALIFORNIA ST,94109,227273,Mixed Residential,Mixed Use Property,https://sfplanninggis.org/PIM/?tab=Property&search=0642/036,1988,,,,38.9,99.6,11.6,39,99.7,350.2,2.3,1486509.1,814173,,5886142.7,,41.7,107.5,20.4,42.2,108,407.3,2.7,1611941.9,804291.8,,6304238.3,,48.8,124.7,39.7,49,124.9,501.8,3.3,1859096.9,1034608.3,,7377847.6,,,,,,,498.7,3.3,1857660.9,982820.9,,7321160.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0643/003,1628 CALIFORNIA ST,1628 CALIFORNIA ST,94109,90834,Mixed Residential,Multifamily Housing,https://sfplanninggis.org/PIM/?tab=Property&search=0643/003,2007,,,100,24.8,37.8,-53.7,24.8,37.8,83.8,1.4,120651.6,1109534.9,,1521198.3,,18.6,29.1,-63.9,20.3,30.9,65.1,1.1,97927,807760.5,,1141887.5,100,26,39,-52.9,27,40.5,91.6,1.5,120054.8,1180697.2,,1590324.2,,,,,,,96.2,1.6,131698.4,1214789.1,,1664144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,,,,,,,,,,,,,,
0643/015,Old First Presbyterian Church,1660 VAN NESS AVE,94109,18263,Commercial,Worship Facility,https://sfplanninggis.org/PIM/?tab=Property&search=0643/015,1911,04/01/2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,17.8,37.7,-55.8,19.4,39.8,95,16.9,35.1,-57.1,-57.1,19.1,37.8,97,15.1,31.8,-63,15.4,32.4,97,12.5,30.5,-63.1,14,32.1,92,18.3,42.3,-51.3,18.5,42.6,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Insufficient Data,,2019 - Violation - Insufficient Data,,2018 - Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0643/017,1656 CALIFORNIA ST,1656 CALIFORNIA ST,94109,16702,Commercial,Office,https://sfplanninggis.org/PIM/?tab=Property&search=0643/017,1968,04/01/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year
0678/037,2040 SUTTER ST,2040 SUTTER ST,94115,132266,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0678/037,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0643/018,1600 VAN NESS AVE,1600 VAN NESS AVE,94109,55219,Commercial,Retail,https://sfplanninggis.org/PIM/?tab=Property&search=0643/018,1913,04/01/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,
0644/012,1534 CALIFORNIA ST,1534 CALIFORNIA ST,94109,22659,Mixed Residential,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0644/012,1906,,,100,5.8,16.2,-86.3,5.8,16.2,7.9,0.4,38421.8,,,131095.2,,3.2,8.8,-92.1,3.2,8.8,13.7,0.2,60639.3,,,206901.5,,,,,,,,,,,,,,,,,,,105.4,1.6,308842.4,587321.1,,1641091.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Violation - Did Not Report,,2018 - Complied,,,,,,,,,,,,,,,
0644/014,JPMorgan Chase - WM1405 Polk,1500 POLK ST,94109,11935,Commercial,Bank Branch,https://sfplanninggis.org/PIM/?tab=Property&search=0644/014,1970,04/01/2024,,76,57,114,-33,56.6,113.1,38.9,3.3,108302,310500,,680026.5,,61.9,126,-27.9,61.9,126,44.7,3.7,121888.3,323000,,738882.9,83,36.8,102.9,-41.2,36.8,102.9,30.9,2.6,128550.7,,,438615.1,68,67.2,129.6,-18.9,67.4,130,49.6,4.2,117888,400141.4,,802375.3,59,72.8,149.7,-10.3,72.3,147.9,76,70.1,148.3,-28,-28,72.7,151,68,81.6,170.2,-19,82.8,170.2,41,70,151.5,9.19999999999999,70,151.5,64,50.3,120.5,-15.5,50.3,120.5,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year
0645/036,Larkin Pine Senior Housing,1400 PINE ST,94109,116504,Mixed Residential,,https://sfplanninggis.org/PIM/?tab=Property&search=0645/036,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Violation - Did Not Report,,2019 - Violation - Did Not Report,,2018 - Violation - Did Not Report,,,,,,,,,,,,,,,
0646/005,1528 PINE ST,1528 PINE ST,94109,40199,Commercial,Automobile Dealership,https://sfplanninggis.org/PIM/?tab=Property&search=0646/005,1922,04/01/2019,,,,,,,,,,,,,,,23.7,46.4,-62.6,25,47.8,57,1.4,145329.8,454888,,950753.5,,25.4,47.9,-61.4,26,48.6,62.6,1.6,143438.8,530132.5,,1019545.7,,,,,,,,,,,,,,26,56.1,-56.9,26.9,57,,29.9,65.6,-49.6,-49.6,29.9,65.6,,29,67.4,-48,29,67.4,,27.5,61.4,-52.8,27.5,61.4,,,,,,,,,,,,,,,,,,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Exempt,New Construction,Exempt,New Construction,Exempt,
0646/012,1554 VAN NESS AVE,1554 VAN NESS AVE,94109,28720,Commercial,Bank Branch,https://sfplanninggis.org/PIM/?tab=Property&search=0646/012,1917,04/01/2022,,64,73.9,136.6,-17.9,77.4,140.2,119.9,4.2,283440,1156400,,2123497.2,,67.2,130.9,-23.9,75.2,139.3,115.5,4,290400,938700.1,,1929544.9,35,101.4,214.1,20.2,107.4,220.4,111.2,6.5,310803,688000,,1748459.8,,,,,,,,,,,,,,,,,,,32,102.7,237.8,21.5,21.5,114.1,249.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,
0646/016,Holiday Inn Golden Gateway,1550 VAN NESS AVE,94109,282783,Commercial,Hotel,https://sfplanninggis.org/PIM/?tab=Property&search=0646/016,1973,04/01/2020,,,,,,,,,,,,,,,30.6,69.9,-56.9,30.6,69.9,539.9,1.9,1788440.3,2548688,,8650847.1,76,61.4,129,-21.2,62,129.5,1103.4,3.9,3053125.6,6957651.9,,17374917.6,77,59.3,128,-22.3,59.1,127.5,1074.8,3.8,3114263.6,6144262.7,,16770131.5,75,57.3,129.6,-20.7,58.9,131.3,54,67.5,157.6,-3.9,-3.9,68.4,158.5,,,,,,,,,,,,,,,,,,,63,65.7,159.699999999999,-11.6,65.2,158.1,70,61.3,,-17.5,58.1,,2021 - Violation - Did Not Report,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,
0647/001,1595 Van Ness,1595 VAN NESS AVE,94109,35700,Commercial,Automobile Dealership,https://sfplanninggis.org/PIM/?tab=Property&search=0647/001,1913,04/01/2026,,,14.3,40,-67.8,14.3,40,30.9,0.9,149404.6,,,509768.6,,19.6,54.9,-55.7,19.6,54.9,46.4,1.3,205283.9,,,700428.7,,20,55.9,-55,20,55.9,50.2,1.4,208800.6,,,712427.6,,14.8,41.3,-66.7,14.8,41.3,37.1,1,154433.7,,,526927.7,,9.7,30.3,-76.7,9.7,30.3,,10.9,34.3,-73.7,-73.7,10.9,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Violation - Did Not Report,,Exempt,Tenant Turnover,Complied,
0647/012,Whole Foods Market,1745 CALIFORNIA ST,94109,72621,Commercial,Supermarket/Grocery Store,https://sfplanninggis.org/PIM/?tab=Property&search=0647/012,1900,04/01/2026,,68,251.5,552.9,-17.7,251.5,552.9,513.2,14.6,1702342.5,3043391.8,,8851785.2,,263.8,556.8,-16.9,272.3,565.7,567.3,16.1,1649250.8,3657398,,9284642.6,74,324.2,671.4,-23.2,329.8,677.2,721.5,20.5,1950675.4,4756334.6,,11412039.9,69,339.9,704,-18.6,339.9,704,756.4,21.5,2045990.7,4983521.2,,11964442.2,35,368.1,791.8,9.4,373.5,797.5,33,376,786.3,10.9,10.9,383.5,794.2,32,383.2,808.9,,388.7,814.7,32,372.5,797.1,,384.2,809.5,26,375.3,789.7,16.8999999999999,376,790.3,11,364.5,791.8,,359.2,786.2,,454.8,,727.4,454.8,,2021 - Complied,,2020 - Complied,,2019 - Complied,,2018 - Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,
